du,t,Date,URL,MarketName,Bookmaker,moneyline_home,moneyline_away,moneyline_draw,ph,pa,pd,m,ts,havg,aavg
2021-10-16 02:40:36+00:00,03:47:26,2021-10-16 00:00:00,,Arsenal Tula/Zenit St Petersburg,intertops,8.0,1.33,4.6,0.2135628664251839,0.786437133574816,0.19866313155831064,2021-10-16 02:40:00,1634352036000000000,0.2135628664251839,0.786437133574816
2021-10-16 02:41:15+00:00,03:47:26,2021-10-16 00:00:00,,Arsenal Tula/Zenit St Petersburg,playup,8.7,1.3,4.9,0.1993865030674847,0.8006134969325155,0.1875310893715802,2021-10-16 02:41:00,1634352075000000000,0.2064746847463343,0.7935253152536658
2021-10-16 02:41:15+00:00,03:47:26,2021-10-16 00:00:00,,Arsenal Tula/Zenit St Petersburg,tab,7.5,1.35,4.75,0.21998562185478074,0.7800143781452192,0.19410496046010065,2021-10-16 02:41:00,1634352075000000000,0.2109783304491498,0.7890216695508503
2021-10-16 02:41:17+00:00,03:47:26,2021-10-16 00:00:00,,Arsenal Tula/Zenit St Petersburg,sport888,7.5,1.32,4.7,0.21719827082603108,0.782801729173969,0.1927795303189625,2021-10-16 02:41:00,1634352077000000000,0.2125333155433701,0.7874666844566299
2021-10-16 02:42:52+00:00,03:47:26,2021-10-16 00:00:00,,Arsenal Tula/Zenit St Petersburg,unibet,8.0,1.35,4.8,0.21336206896551727,0.7866379310344829,0.19396551724137934,2021-10-16 02:42:00,1634352172000000000,0.21269906622779952,0.7873009337722005
2021-10-16 02:42:52+00:00,03:49:26,2021-10-16 00:00:00,,Arsenal Tula/Zenit St Petersburg,unibet,8.0,1.35,4.8,0.21336206896551727,0.7866379310344829,0.19396551724137934,2021-10-16 02:42:00,1634352172000000000,0.21269906622779952,0.7873009337722005
2021-10-16 02:42:52+00:00,03:48:26,2021-10-16 00:00:00,,Arsenal Tula/Zenit St Petersburg,unibet,8.0,1.35,4.8,0.21336206896551727,0.7866379310344829,0.19396551724137934,2021-10-16 02:42:00,1634352172000000000,0.21269906622779952,0.7873009337722005
2021-10-16 02:42:54+00:00,03:47:26,2021-10-16 00:00:00,,Arsenal Tula/Zenit St Petersburg,ladbrokes,8.0,1.33,4.5,0.2148218527315915,0.7851781472684086,0.20218527315914492,2021-10-16 02:42:00,1634352174000000000,0.2130528639784315,0.7869471360215684
2021-10-16 02:42:54+00:00,03:48:26,2021-10-16 00:00:00,,Arsenal Tula/Zenit St Petersburg,ladbrokes,8.0,1.33,4.5,0.2148218527315915,0.7851781472684086,0.20218527315914492,2021-10-16 02:42:00,1634352174000000000,0.2130528639784315,0.7869471360215684
2021-10-16 02:42:54+00:00,03:49:26,2021-10-16 00:00:00,,Arsenal Tula/Zenit St Petersburg,ladbrokes,8.0,1.33,4.5,0.2148218527315915,0.7851781472684086,0.20218527315914492,2021-10-16 02:42:00,1634352174000000000,0.2130528639784315,0.7869471360215684
