"Date Updated","Time","Date","URL","MarketName","Bookmaker","moneyline_home","moneyline_away","moneyline_draw"
"2021-10-16T02:46:51Z","03:47:26 Moscow Time","2021-10-16","","Arsenal Tula/Zenit St Petersburg","sportsbet","9.0","1.3","5.0"
"2021-10-16T02:44:36Z","03:47:26 Moscow Time","2021-10-16","","Arsenal Tula/Zenit St Petersburg","bovada","8.0","1.34","5.0"
"2021-10-16T02:46:54Z","03:47:26 Moscow Time","2021-10-16","","Arsenal Tula/Zenit St Petersburg","onexbet","11.0","1.35","5.35"
"2021-10-16T02:45:37Z","03:47:26 Moscow Time","2021-10-16","","Arsenal Tula/Zenit St Petersburg","betclic","7.85","1.35","5.0"
"2021-10-16T02:46:53Z","03:47:26 Moscow Time","2021-10-16","","Arsenal Tula/Zenit St Petersburg","paddypower","8.5","1.29","5.0"
"2021-10-16T02:46:53Z","03:47:26 Moscow Time","2021-10-16","","Arsenal Tula/Zenit St Petersburg","marathonbet","11.0","1.34","5.35"
"2021-10-16T02:45:51Z","03:47:26 Moscow Time","2021-10-16","","Arsenal Tula/Zenit St Petersburg","wynnbet","8.5","1.33","4.95"
"2021-10-16T02:45:37Z","03:47:26 Moscow Time","2021-10-16","","Arsenal Tula/Zenit St Petersburg","draftkings","8.5","1.33","5.5"
"2021-10-16T02:45:14Z","03:47:26 Moscow Time","2021-10-16","","Arsenal Tula/Zenit St Petersburg","williamhill","10.0","1.29","4.75"
"2021-10-16T02:45:35Z","03:47:26 Moscow Time","2021-10-16","","Arsenal Tula/Zenit St Petersburg","pinnacle","9.07","1.37","5.18"
"2021-10-16T02:46:27Z","03:47:26 Moscow Time","2021-10-16","","Arsenal Tula/Zenit St Petersburg","betrivers","8.0","1.35","4.8"
"2021-10-16T02:42:54Z","03:47:26 Moscow Time","2021-10-16","","Arsenal Tula/Zenit St Petersburg","ladbrokes","8.0","1.33","4.5"
"2021-10-16T02:46:51Z","03:47:26 Moscow Time","2021-10-16","","Arsenal Tula/Zenit St Petersburg","neds","8.0","1.33","4.5"
"2021-10-16T02:41:17Z","03:47:26 Moscow Time","2021-10-16","","Arsenal Tula/Zenit St Petersburg","sport888","7.5","1.32","4.7"
"2021-10-16T02:46:54Z","03:47:26 Moscow Time","2021-10-16","","Arsenal Tula/Zenit St Petersburg","coral","8.5","1.33","4.75"
"2021-10-16T02:42:52Z","03:47:26 Moscow Time","2021-10-16","","Arsenal Tula/Zenit St Petersburg","unibet","8.0","1.35","4.8"
"2021-10-16T02:46:26Z","03:47:26 Moscow Time","2021-10-16","","Arsenal Tula/Zenit St Petersburg","sugarhouse","8.0","1.35","4.8"
